payment_id,customer_id,payment_date,amount,payment_method,status,failure_reason,recovery_action,recovered,recovered_amount
PAY000081,CUST00738,2026-02-28,7935.18,upi,success,,no_action,False,0.0
PAY000082,CUST00752,2026-02-28,796.08,netbanking,success,,no_action,False,0.0
PAY000083,CUST00764,2026-02-28,5373.69,netbanking,success,,no_action,False,0.0
PAY000084,CUST00766,2026-02-28,8194.72,netbanking,success,,no_action,False,0.0
PAY000085,CUST00817,2026-02-28,13354.98,card,success,,no_action,False,0.0
PAY000086,CUST00872,2026-02-28,11584.6,netbanking,success,,no_action,False,0.0
PAY000087,CUST00877,2026-02-28,17028.06,wallet,success,,no_action,False,0.0
PAY000088,CUST00884,2026-02-28,9078.23,wallet,success,,no_action,False,0.0
PAY000089,CUST00892,2026-02-28,7495.11,upi,success,,no_action,False,0.0
PAY000090,CUST00903,2026-02-28,11801.62,card,success,,no_action,False,0.0
PAY000091,CUST00925,2026-02-28,12401.41,netbanking,failed,network_error,reminder,True,12401.41
PAY000092,CUST00932,2026-02-28,15436.55,netbanking,success,,no_action,False,0.0
PAY000093,CUST00934,2026-02-28,10151.11,upi,success,,no_action,False,0.0
PAY000094,CUST00943,2026-02-28,3364.58,card,success,,no_action,False,0.0
PAY000095,CUST00947,2026-02-28,13264.72,upi,success,,no_action,False,0.0
PAY000096,CUST00971,2026-02-28,17281.12,netbanking,success,,no_action,False,0.0
PAY000097,CUST00975,2026-02-28,14488.48,card,failed,expired_card,reminder,False,0.0
PAY000098,CUST00981,2026-02-28,814.3,netbanking,success,,no_action,False,0.0
PAY000099,CUST00998,2026-02-28,1372.29,upi,success,,no_action,False,0.0
PAY000100,CUST00007,2026-03-01,2010.84,wallet,success,,no_action,False,0.0
PAY000101,CUST00019,2026-03-01,2010.28,upi,success,,no_action,False,0.0
PAY000102,CUST00021,2026-03-01,7741.51,wallet,success,,no_action,False,0.0
PAY000103,CUST00028,2026-03-01,8816.27,netbanking,success,,no_action,False,0.0
PAY000104,CUST00032,2026-03-01,6867.54,netbanking,success,,no_action,False,0.0
PAY000105,CUST00039,2026-03-01,8458.68,netbanking,success,,no_action,False,0.0
PAY000106,CUST00041,2026-03-01,19483.27,card,success,,no_action,False,0.0
PAY000107,CUST00042,2026-03-01,1369.91,upi,success,,no_action,False,0.0
PAY000108,CUST00045,2026-03-01,997.94,upi,failed,authentication_failed,reminder,False,0.0
PAY000109,CUST00055,2026-03-01,14969.85,netbanking,success,,no_action,False,0.0
PAY000110,CUST00067,2026-03-01,7887.37,card,success,,no_action,False,0.0
PAY000111,CUST00070,2026-03-01,3426.46,card,failed,card_declined,payment_link,False,0.0
PAY000112,CUST00074,2026-03-01,19957.35,wallet,success,,no_action,False,0.0
PAY000113,CUST00101,2026-03-01,2864.23,card,success,,no_action,False,0.0
PAY000114,CUST00102,2026-03-01,13354.36,wallet,success,,no_action,False,0.0
PAY000115,CUST00113,2026-03-01,4302.96,netbanking,failed,expired_card,reminder,True,4302.96
PAY000116,CUST00114,2026-03-01,15469.05,netbanking,success,,no_action,False,0.0
PAY000117,CUST00127,2026-03-01,6638.92,card,success,,no_action,False,0.0
PAY000118,CUST00168,2026-03-01,9177.65,wallet,success,,no_action,False,0.0
PAY000119,CUST00172,2026-03-01,7363.7,card,failed,timeout,reminder,True,7363.7
PAY000120,CUST00179,2026-03-01,4991.82,wallet,success,,no_action,False,0.0
PAY000121,CUST00181,2026-03-01,16642.51,upi,failed,card_declined,payment_link,False,0.0
PAY000122,CUST00200,2026-03-01,8448.54,upi,success,,no_action,False,0.0
PAY000123,CUST00204,2026-03-01,16019.19,netbanking,success,,no_action,False,0.0
PAY000124,CUST00207,2026-03-01,2089.37,wallet,success,,no_action,False,0.0
PAY000125,CUST00212,2026-03-01,3393.77,wallet,success,,no_action,False,0.0
PAY000126,CUST00240,2026-03-01,15566.58,upi,success,,no_action,False,0.0
PAY000127,CUST00252,2026-03-01,802.49,card,success,,no_action,False,0.0
PAY000128,CUST00274,2026-03-01,15427.44,wallet,failed,card_declined,reminder,False,0.0
PAY000129,CUST00281,2026-03-01,16760.24,card,success,,no_action,False,0.0
PAY000130,CUST00285,2026-03-01,19803.7,upi,success,,no_action,False,0.0
PAY000131,CUST00288,2026-03-01,10821.54,wallet,failed,expired_card,reminder,True,10821.54
PAY000132,CUST00298,2026-03-01,14090.11,upi,success,,no_action,False,0.0
PAY000133,CUST00304,2026-03-01,2821.08,netbanking,success,,no_action,False,0.0
PAY000134,CUST00307,2026-03-01,12524.28,card,success,,no_action,False,0.0
PAY000135,CUST00312,2026-03-01,18454.11,wallet,failed,timeout,reminder,True,18454.11
PAY000136,CUST00321,2026-03-01,16778.69,netbanking,success,,no_action,False,0.0
PAY000137,CUST00331,2026-03-01,14152.22,upi,failed,authentication_failed,reminder,False,0.0
PAY000138,CUST00339,2026-03-01,18764.12,card,success,,no_action,False,0.0
PAY000139,CUST00344,2026-03-01,651.78,netbanking,success,,no_action,False,0.0
PAY000140,CUST00349,2026-03-01,9343.78,netbanking,success,,no_action,False,0.0
PAY000141,CUST00356,2026-03-01,10419.01,netbanking,failed,insufficient_funds,reminder,True,10419.01
PAY000142,CUST00375,2026-03-01,10119.22,card,success,,no_action,False,0.0
PAY000143,CUST00382,2026-03-01,17997.38,wallet,success,,no_action,False,0.0
PAY000144,CUST00400,2026-03-01,7989.32,upi,failed,insufficient_funds,reminder,False,0.0
PAY000145,CUST00406,2026-03-01,14825.2,upi,success,,no_action,False,0.0
PAY000146,CUST00411,2026-03-01,5926.0,netbanking,success,,no_action,False,0.0
PAY000147,CUST00423,2026-03-01,6053.42,card,success,,no_action,False,0.0
PAY000148,CUST00427,2026-03-01,9989.4,upi,failed,expired_card,reminder,False,0.0
PAY000149,CUST00439,2026-03-01,5558.87,card,success,,no_action,False,0.0
PAY000150,CUST00440,2026-03-01,13495.46,upi,success,,no_action,False,0.0
PAY000151,CUST00451,2026-03-01,11267.19,upi,success,,no_action,False,0.0
PAY000152,CUST00454,2026-03-01,18099.56,upi,success,,no_action,False,0.0
PAY000153,CUST00468,2026-03-01,16733.84,card,success,,no_action,False,0.0
PAY000154,CUST00469,2026-03-01,5995.83,wallet,success,,no_action,False,0.0
PAY000155,CUST00480,2026-03-01,10657.43,wallet,success,,no_action,False,0.0
PAY000156,CUST00487,2026-03-01,2637.49,card,success,,no_action,False,0.0
PAY000157,CUST00519,2026-03-01,8929.19,netbanking,success,,no_action,False,0.0
PAY000158,CUST00526,2026-03-01,3167.95,netbanking,success,,no_action,False,0.0
PAY000159,CUST00530,2026-03-01,2771.02,netbanking,failed,timeout,reminder,False,0.0
PAY000160,CUST00536,2026-03-01,14683.55,netbanking,success,,no_action,False,0.0
PAY000161,CUST00544,2026-03-01,7039.07,wallet,success,,no_action,False,0.0
PAY000162,CUST00546,2026-03-01,10500.46,card,failed,expired_card,payment_link,False,0.0
PAY000163,CUST00559,2026-03-01,1247.96,card,failed,authentication_failed,reminder,True,1247.96
PAY000164,CUST00573,2026-03-01,16907.91,card,failed,timeout,retry,True,16907.91
PAY000165,CUST00589,2026-03-01,3169.06,wallet,failed,card_declined,reminder,False,0.0
PAY000166,CUST00598,2026-03-01,5673.08,upi,success,,no_action,False,0.0
PAY000167,CUST00601,2026-03-01,4148.54,wallet,success,,no_action,False,0.0
PAY000168,CUST00615,2026-03-01,4372.17,card,failed,timeout,retry,True,4372.17
PAY000169,CUST00620,2026-03-01,562.36,card,success,,no_action,False,0.0
PAY000170,CUST00622,2026-03-01,12418.74,upi,success,,no_action,False,0.0
PAY000171,CUST00632,2026-03-01,13915.64,wallet,success,,no_action,False,0.0
PAY000172,CUST00653,2026-03-01,5076.96,netbanking,success,,no_action,False,0.0
PAY000173,CUST00677,2026-03-01,13310.35,upi,success,,no_action,False,0.0
PAY000174,CUST00679,2026-03-01,16893.49,netbanking,success,,no_action,False,0.0
PAY000175,CUST00682,2026-03-01,10059.33,wallet,success,,no_action,False,0.0
PAY000176,CUST00688,2026-03-01,11096.56,netbanking,success,,no_action,False,0.0
PAY000177,CUST00692,2026-03-01,2691.16,netbanking,success,,no_action,False,0.0
PAY000178,CUST00695,2026-03-01,9219.87,upi,success,,no_action,False,0.0
PAY000179,CUST00732,2026-03-01,2758.47,wallet,failed,timeout,reminder,True,2758.47
PAY000180,CUST00761,2026-03-01,14090.89,upi,failed,network_error,reminder,False,0.0
PAY000181,CUST00762,2026-03-01,17348.18,wallet,success,,no_action,False,0.0
PAY000182,CUST00775,2026-03-01,1064.77,netbanking,success,,no_action,False,0.0
PAY000183,CUST00790,2026-03-01,17851.31,wallet,success,,no_action,False,0.0
PAY000184,CUST00795,2026-03-01,15550.07,netbanking,success,,no_action,False,0.0
PAY000185,CUST00799,2026-03-01,8518.97,wallet,success,,no_action,False,0.0
PAY000186,CUST00805,2026-03-01,5583.64,card,success,,no_action,False,0.0
PAY000187,CUST00807,2026-03-01,14699.64,netbanking,success,,no_action,False,0.0
PAY000188,CUST00818,2026-03-01,1389.76,wallet,success,,no_action,False,0.0
PAY000189,CUST00837,2026-03-01,11663.86,upi,success,,no_action,False,0.0
PAY000190,CUST00838,2026-03-01,15701.26,card,failed,authentication_failed,reminder,True,15701.26
PAY000191,CUST00849,2026-03-01,3019.7,card,failed,insufficient_funds,payment_link,False,0.0
PAY000192,CUST00860,2026-03-01,2259.93,netbanking,failed,authentication_failed,reminder,True,2259.93
PAY000193,CUST00864,2026-03-01,1459.7,upi,success,,no_action,False,0.0
PAY000194,CUST00882,2026-03-01,4369.58,upi,failed,network_error,reminder,False,0.0
PAY000195,CUST00885,2026-03-01,4972.02,upi,failed,expired_card,reminder,True,4972.02
PAY000196,CUST00888,2026-03-01,11282.55,upi,failed,insufficient_funds,reminder,False,0.0
PAY000197,CUST00893,2026-03-01,15224.88,card,success,,no_action,False,0.0
PAY000198,CUST00894,2026-03-01,15931.2,card,success,,no_action,False,0.0
PAY000199,CUST00899,2026-03-01,6378.6,upi,success,,no_action,False,0.0
PAY000200,CUST00915,2026-03-01,13917.37,card,success,,no_action,False,0.0
PAY000201,CUST00928,2026-03-01,2911.04,wallet,success,,no_action,False,0.0
PAY000202,CUST00929,2026-03-01,3058.27,netbanking,failed,insufficient_funds,payment_link,True,3058.27
PAY000203,CUST00939,2026-03-01,14581.2,wallet,success,,no_action,False,0.0
PAY000204,CUST00945,2026-03-01,14981.71,upi,success,,no_action,False,0.0
PAY000205,CUST00946,2026-03-01,11969.82,wallet,success,,no_action,False,0.0
PAY000206,CUST00949,2026-03-01,12310.99,netbanking,failed,network_error,reminder,True,12310.99
PAY000207,CUST00952,2026-03-01,956.92,netbanking,success,,no_action,False,0.0
PAY000208,CUST00953,2026-03-01,2443.74,wallet,success,,no_action,False,0.0
PAY000209,CUST00959,2026-03-01,8875.92,upi,failed,authentication_failed,reminder,True,8875.92
PAY000210,CUST00962,2026-03-01,6046.25,upi,success,,no_action,False,0.0
PAY000211,CUST00972,2026-03-01,19866.5,wallet,success,,no_action,False,0.0
PAY000212,CUST00974,2026-03-01,15372.66,card,success,,no_action,False,0.0
PAY000213,CUST00983,2026-03-01,11768.65,card,success,,no_action,False,0.0
PAY000214,CUST00004,2026-03-02,5026.25,netbanking,success,,no_action,False,0.0
PAY000215,CUST00014,2026-03-02,2624.49,netbanking,success,,no_action,False,0.0
PAY000216,CUST00016,2026-03-02,11823.22,card,success,,no_action,False,0.0
PAY000217,CUST00027,2026-03-02,4549.8,wallet,success,,no_action,False,0.0
PAY000218,CUST00030,2026-03-02,2135.83,wallet,success,,no_action,False,0.0
PAY000219,CUST00038,2026-03-02,9733.54,upi,success,,no_action,False,0.0
PAY000220,CUST00043,2026-03-02,10121.65,wallet,success,,no_action,False,0.0
PAY000221,CUST00048,2026-03-02,7088.44,upi,success,,no_action,False,0.0
PAY000222,CUST00049,2026-03-02,13935.45,wallet,failed,expired_card,reminder,False,0.0
PAY000223,CUST00050,2026-03-02,15223.24,wallet,success,,no_action,False,0.0
PAY000224,CUST00051,2026-03-02,6603.82,upi,success,,no_action,False,0.0
PAY000225,CUST00052,2026-03-02,14322.93,card,failed,network_error,reminder,True,14322.93
PAY000226,CUST00059,2026-03-02,7825.88,card,success,,no_action,False,0.0
PAY000227,CUST00081,2026-03-02,15088.9,upi,success,,no_action,False,0.0
PAY000228,CUST00084,2026-03-02,17460.11,card,success,,no_action,False,0.0
PAY000229,CUST00098,2026-03-02,8771.55,upi,success,,no_action,False,0.0
PAY000230,CUST00099,2026-03-02,10729.49,upi,failed,authentication_failed,reminder,True,10729.49
PAY000231,CUST00104,2026-03-02,680.54,card,success,,no_action,False,0.0
PAY000232,CUST00107,2026-03-02,6237.36,netbanking,success,,no_action,False,0.0
PAY000233,CUST00110,2026-03-02,12494.46,netbanking,success,,no_action,False,0.0
PAY000234,CUST00112,2026-03-02,3735.94,netbanking,success,,no_action,False,0.0
PAY000235,CUST00119,2026-03-02,4487.01,netbanking,success,,no_action,False,0.0
PAY000236,CUST00140,2026-03-02,5399.17,wallet,success,,no_action,False,0.0
PAY000237,CUST00202,2026-03-02,3089.12,netbanking,success,,no_action,False,0.0
PAY000238,CUST00205,2026-03-02,14542.54,upi,success,,no_action,False,0.0
PAY000239,CUST00220,2026-03-02,14444.09,wallet,success,,no_action,False,0.0
PAY000240,CUST00224,2026-03-02,8617.91,upi,success,,no_action,False,0.0
PAY000241,CUST00227,2026-03-02,19869.55,card,success,,no_action,False,0.0
PAY000242,CUST00228,2026-03-02,4159.65,card,success,,no_action,False,0.0
PAY000243,CUST00233,2026-03-02,6955.19,card,failed,authentication_failed,reminder,True,6955.19
PAY000244,CUST00239,2026-03-02,7333.83,upi,success,,no_action,False,0.0
PAY000245,CUST00242,2026-03-02,775.53,upi,success,,no_action,False,0.0
PAY000246,CUST00246,2026-03-02,16504.71,wallet,success,,no_action,False,0.0
PAY000247,CUST00249,2026-03-02,6462.13,wallet,failed,authentication_failed,reminder,True,6462.13
PAY000248,CUST00276,2026-03-02,13357.67,card,success,,no_action,False,0.0
PAY000249,CUST00294,2026-03-02,2508.04,upi,success,,no_action,False,0.0
PAY000250,CUST00302,2026-03-02,5627.28,card,success,,no_action,False,0.0
PAY000251,CUST00303,2026-03-02,10685.2,wallet,success,,no_action,False,0.0
PAY000252,CUST00343,2026-03-02,15553.58,netbanking,failed,timeout,reminder,False,0.0
PAY000253,CUST00364,2026-03-02,13535.69,wallet,success,,no_action,False,0.0
PAY000254,CUST00366,2026-03-02,552.08,upi,failed,insufficient_funds,reminder,False,0.0
PAY000255,CUST00418,2026-03-02,12491.01,upi,success,,no_action,False,0.0
PAY000256,CUST00438,2026-03-02,17554.97,netbanking,success,,no_action,False,0.0
PAY000257,CUST00448,2026-03-02,19411.92,upi,success,,no_action,False,0.0
PAY000258,CUST00458,2026-03-02,9073.94,wallet,success,,no_action,False,0.0
PAY000259,CUST00459,2026-03-02,10257.31,card,success,,no_action,False,0.0
PAY000260,CUST00472,2026-03-02,8168.31,wallet,success,,no_action,False,0.0
PAY000261,CUST00492,2026-03-02,7422.34,netbanking,success,,no_action,False,0.0
PAY000262,CUST00493,2026-03-02,17724.07,upi,failed,timeout,retry,True,17724.07
PAY000263,CUST00495,2026-03-02,14371.28,wallet,success,,no_action,False,0.0
PAY000264,CUST00497,2026-03-02,10056.82,netbanking,success,,no_action,False,0.0
PAY000265,CUST00512,2026-03-02,11379.15,wallet,success,,no_action,False,0.0
PAY000266,CUST00513,2026-03-02,3971.24,netbanking,success,,no_action,False,0.0
PAY000267,CUST00533,2026-03-02,15529.52,netbanking,failed,card_declined,payment_link,False,0.0
PAY000268,CUST00567,2026-03-02,17587.75,upi,success,,no_action,False,0.0
PAY000269,CUST00618,2026-03-02,3990.61,card,success,,no_action,False,0.0
PAY000270,CUST00626,2026-03-02,7539.33,upi,success,,no_action,False,0.0
PAY000271,CUST00644,2026-03-02,6552.62,card,success,,no_action,False,0.0
PAY000272,CUST00648,2026-03-02,18358.24,card,success,,no_action,False,0.0
PAY000273,CUST00651,2026-03-02,1153.8,netbanking,success,,no_action,False,0.0
PAY000274,CUST00656,2026-03-02,8266.73,netbanking,success,,no_action,False,0.0
PAY000275,CUST00674,2026-03-02,1615.93,card,success,,no_action,False,0.0
PAY000276,CUST00684,2026-03-02,18587.71,wallet,success,,no_action,False,0.0
PAY000277,CUST00696,2026-03-02,9732.24,card,success,,no_action,False,0.0
PAY000278,CUST00698,2026-03-02,1062.32,upi,success,,no_action,False,0.0
PAY000279,CUST00699,2026-03-02,3949.7,upi,success,,no_action,False,0.0
PAY000280,CUST00728,2026-03-02,16764.26,card,success,,no_action,False,0.0
PAY000281,CUST00742,2026-03-02,12930.82,card,success,,no_action,False,0.0
PAY000282,CUST00747,2026-03-02,17228.86,netbanking,failed,card_declined,payment_link,False,0.0
PAY000283,CUST00750,2026-03-02,14880.35,netbanking,success,,no_action,False,0.0
PAY000284,CUST00783,2026-03-02,17040.49,netbanking,failed,card_declined,reminder,False,0.0
PAY000285,CUST00800,2026-03-02,11943.53,netbanking,success,,no_action,False,0.0
PAY000286,CUST00808,2026-03-02,18840.63,wallet,success,,no_action,False,0.0
PAY000287,CUST00820,2026-03-02,13520.59,card,success,,no_action,False,0.0
PAY000288,CUST00821,2026-03-02,16588.43,upi,failed,insufficient_funds,payment_link,True,16588.43
PAY000289,CUST00830,2026-03-02,1367.91,upi,success,,no_action,False,0.0
PAY000290,CUST00833,2026-03-02,8480.4,card,success,,no_action,False,0.0
PAY000291,CUST00841,2026-03-02,11430.91,card,success,,no_action,False,0.0
PAY000292,CUST00856,2026-03-02,11579.38,card,success,,no_action,False,0.0
PAY000293,CUST00861,2026-03-02,9528.6,card,failed,card_declined,payment_link,False,0.0
PAY000294,CUST00866,2026-03-02,4120.35,card,success,,no_action,False,0.0
PAY000295,CUST00874,2026-03-02,15880.37,upi,failed,network_error,reminder,True,15880.37
PAY000296,CUST00876,2026-03-02,14623.4,upi,success,,no_action,False,0.0
PAY000297,CUST00883,2026-03-02,13777.37,upi,success,,no_action,False,0.0
PAY000298,CUST00886,2026-03-02,14893.15,netbanking,success,,no_action,False,0.0
PAY000299,CUST00889,2026-03-02,14265.32,upi,success,,no_action,False,0.0
PAY000300,CUST00923,2026-03-02,11518.28,wallet,success,,no_action,False,0.0
PAY000301,CUST00935,2026-03-02,4170.78,upi,success,,no_action,False,0.0
PAY000302,CUST00938,2026-03-02,6251.18,wallet,success,,no_action,False,0.0
PAY000303,CUST00941,2026-03-02,10052.77,netbanking,success,,no_action,False,0.0
PAY000304,CUST00951,2026-03-02,13015.61,wallet,success,,no_action,False,0.0
PAY000305,CUST00960,2026-03-02,13897.28,upi,success,,no_action,False,0.0
PAY000306,CUST00005,2026-03-03,16777.12,wallet,success,,no_action,False,0.0
PAY000307,CUST00009,2026-03-03,11589.87,wallet,success,,no_action,False,0.0
PAY000308,CUST00015,2026-03-03,16312.71,netbanking,success,,no_action,False,0.0
PAY000309,CUST00028,2026-03-03,8004.59,netbanking,success,,no_action,False,0.0
PAY000310,CUST00039,2026-03-03,6079.52,upi,success,,no_action,False,0.0
PAY000311,CUST00078,2026-03-03,9619.92,card,failed,authentication_failed,reminder,False,0.0
PAY000312,CUST00089,2026-03-03,4135.3,upi,success,,no_action,False,0.0
PAY000313,CUST00105,2026-03-03,6798.32,wallet,success,,no_action,False,0.0
PAY000314,CUST00115,2026-03-03,18074.86,netbanking,success,,no_action,False,0.0
PAY000315,CUST00117,2026-03-03,12774.71,card,success,,no_action,False,0.0
PAY000316,CUST00120,2026-03-03,9772.17,netbanking,success,,no_action,False,0.0
PAY000317,CUST00123,2026-03-03,7789.65,netbanking,success,,no_action,False,0.0
PAY000318,CUST00126,2026-03-03,11162.17,card,success,,no_action,False,0.0
PAY000319,CUST00133,2026-03-03,12523.94,wallet,success,,no_action,False,0.0
PAY000320,CUST00144,2026-03-03,9734.66,upi,success,,no_action,False,0.0
PAY000321,CUST00145,2026-03-03,7777.69,netbanking,success,,no_action,False,0.0
PAY000322,CUST00156,2026-03-03,8322.49,card,failed,card_declined,payment_link,False,0.0
PAY000323,CUST00182,2026-03-03,18066.88,card,success,,no_action,False,0.0
PAY000324,CUST00203,2026-03-03,15594.41,wallet,success,,no_action,False,0.0
PAY000325,CUST00213,2026-03-03,3698.51,upi,failed,authentication_failed,reminder,False,0.0
PAY000326,CUST00214,2026-03-03,18885.5,upi,failed,authentication_failed,reminder,False,0.0
PAY000327,CUST00229,2026-03-03,3032.87,netbanking,failed,insufficient_funds,reminder,False,0.0
PAY000328,CUST00234,2026-03-03,6530.83,upi,success,,no_action,False,0.0
PAY000329,CUST00235,2026-03-03,9444.91,upi,success,,no_action,False,0.0
PAY000330,CUST00255,2026-03-03,13342.87,upi,failed,expired_card,reminder,True,13342.87
PAY000331,CUST00262,2026-03-03,4099.58,upi,success,,no_action,False,0.0
PAY000332,CUST00268,2026-03-03,14620.62,upi,success,,no_action,False,0.0
PAY000333,CUST00269,2026-03-03,16990.53,netbanking,success,,no_action,False,0.0
