payment_id,customer_id,payment_date,amount,payment_method,failure_reason,customer_lifetime_value,previous_payment_count,previous_success_count,previous_failure_count,previous_average_amount,customer_success_rate,amount_vs_customer_average,recent_failure_count,recovered
PAY002813,CUST00012,2026-03-21,8751.58,netbanking,expired_card,173424.01,3,2,1,10504.646666666667,0.6666666666666666,0.8331151230217484,1,True
PAY003829,CUST00012,2026-03-28,5129.16,wallet,insufficient_funds,173424.01,4,2,2,10066.380000000001,0.5,0.5095337151985122,2,True
PAY007293,CUST00012,2026-04-26,8879.95,upi,authentication_failed,173424.01,8,5,3,9227.95625,0.625,0.9622878305258546,1,False
PAY008063,CUST00012,2026-05-05,10599.38,netbanking,network_error,173424.01,9,5,4,9189.28888888889,0.5555555555555556,1.1534494266271358,1,False
PAY008779,CUST00012,2026-05-15,5269.23,wallet,authentication_failed,173424.01,10,5,5,9330.297999999999,0.5,0.5647440199659218,2,False
PAY009652,CUST00012,2026-06-08,8792.69,card,authentication_failed,173424.01,12,6,6,8910.044166666667,0.5,0.9868290028117145,1,False
PAY009779,CUST00012,2026-06-15,11702.74,wallet,insufficient_funds,173424.01,13,6,7,8901.016923076922,0.46153846153846156,1.3147643804225655,1,False
PAY002519,CUST00013,2026-03-19,14900.33,upi,timeout,478820.47,1,1,0,19301.44,1.0,0.7719802253096143,0,True
PAY006389,CUST00013,2026-04-17,18584.49,wallet,authentication_failed,478820.47,5,4,1,21586.972,0.8,0.860912313222994,1,False
PAY004888,CUST00014,2026-04-05,5122.74,netbanking,insufficient_funds,50909.19,4,4,0,3495.62,1.0,1.4654739359541369,0,True
PAY007294,CUST00014,2026-04-26,4419.79,wallet,authentication_failed,50909.19,9,8,1,3834.9266666666663,0.8888888888888888,1.1525096525096525,1,True
PAY007991,CUST00014,2026-05-04,4163.25,card,authentication_failed,50909.19,10,8,2,3893.4129999999996,0.8,1.069306030467356,2,False
PAY002220,CUST00015,2026-03-17,23746.54,wallet,insufficient_funds,424509.71,4,4,0,21107.4075,1.0,1.125033474622594,0,True
PAY003681,CUST00015,2026-03-27,17765.85,wallet,insufficient_funds,424509.71,5,4,1,21635.234,0.8,0.8211535867834847,1,True
PAY007197,CUST00015,2026-04-25,21780.64,netbanking,expired_card,424509.71,9,7,2,20377.07222222222,0.7777777777777778,1.0688797567418502,1,False
PAY008228,CUST00015,2026-05-07,18480.71,card,expired_card,424509.71,10,7,3,20517.428999999996,0.7,0.9007322506148311,1,True
PAY002965,CUST00016,2026-03-22,15867.09,upi,card_declined,404528.5,3,3,0,11078.1,1.0,1.432293443821594,0,False
PAY004117,CUST00016,2026-03-30,6931.11,netbanking,timeout,404528.5,4,3,1,12275.3475,0.75,0.5646365612052937,1,False
PAY001256,CUST00017,2026-03-10,13434.63,wallet,card_declined,270432.91,0,0,0,13434.63,0.0,1.0,0,True
PAY009248,CUST00017,2026-05-25,15330.61,card,expired_card,270432.91,12,11,1,14339.14,0.9166666666666666,1.0691443140941508,0,True
PAY003254,CUST00018,2026-03-24,27990.7,wallet,card_declined,192374.52,3,3,0,25500.833333333332,1.0,1.097638639260155,0,False
PAY004495,CUST00018,2026-04-02,25883.83,upi,card_declined,192374.52,4,3,1,26123.3,0.75,0.9908330877033148,1,False
PAY006486,CUST00018,2026-04-18,26460.17,wallet,authentication_failed,192374.52,6,4,2,26341.58666666667,0.6666666666666666,1.004501753627597,2,True
PAY007554,CUST00018,2026-04-29,26278.15,card,insufficient_funds,192374.52,8,5,3,26965.3075,0.625,0.9745169788996474,2,False
PAY003405,CUST00019,2026-03-25,3254.18,netbanking,insufficient_funds,415555.31,2,2,0,2370.095,1.0,1.3730166934236814,0,True
PAY003682,CUST00019,2026-03-27,2749.83,upi,network_error,415555.31,3,2,1,2664.7899999999995,0.6666666666666666,1.031912458392594,1,True
PAY004118,CUST00019,2026-03-30,2912.38,wallet,timeout,415555.31,4,2,2,2686.0499999999997,0.5,1.084261275851157,2,True
PAY006155,CUST00019,2026-04-15,1728.84,netbanking,authentication_failed,415555.31,6,3,3,2652.308333333333,0.5,0.6518246684491811,3,True
PAY007916,CUST00019,2026-05-03,1312.76,card,insufficient_funds,415555.31,8,4,4,2565.59625,0.5,0.5116783281858944,1,False
PAY002370,CUST00020,2026-03-18,2947.87,wallet,network_error,431544.92,1,1,0,2602.05,1.0,1.1329029034799485,0,False
PAY004890,CUST00020,2026-04-05,1742.83,upi,network_error,431544.92,3,2,1,2794.693333333333,0.6666666666666666,0.6236211963626301,1,True
PAY005315,CUST00020,2026-04-08,2001.16,netbanking,expired_card,431544.92,4,2,2,2531.7275,0.5,0.7904326196243474,2,False
PAY007198,CUST00020,2026-04-25,2816.22,card,card_declined,431544.92,7,4,3,2521.7000000000003,0.5714285714285714,1.1167942261173016,2,False
PAY001671,CUST00021,2026-03-13,10618.82,card,expired_card,353763.06,1,1,0,7741.51,1.0,1.3716729681935436,0,True
PAY002520,CUST00021,2026-03-19,5699.61,card,authentication_failed,353763.06,2,1,1,9180.165,0.5,0.6208613897462626,1,False
PAY005450,CUST00021,2026-04-09,8715.77,netbanking,authentication_failed,353763.06,4,2,2,8141.599999999999,0.5,1.0705229930234845,2,True
PAY000002,CUST00022,2026-02-28,15370.85,netbanking,insufficient_funds,117809.65,0,0,0,15370.85,0.0,1.0,0,False
PAY000402,CUST00022,2026-03-04,14041.49,netbanking,network_error,117809.65,1,0,1,15370.85,0.0,0.9135142168455225,1,False
PAY001443,CUST00022,2026-03-11,13253.06,netbanking,insufficient_funds,117809.65,2,0,2,14706.17,0.0,0.9011904527147448,2,True
PAY002371,CUST00022,2026-03-18,15588.15,card,card_declined,117809.65,4,1,3,12939.1425,0.25,1.20472821131694,3,False
PAY005565,CUST00022,2026-04-10,11809.62,card,insufficient_funds,117809.65,7,3,4,12481.852857142858,0.42857142857142855,0.9461431836413481,2,False
PAY006592,CUST00022,2026-04-19,13379.24,wallet,network_error,117809.65,9,4,5,11902.387777777778,0.4444444444444444,1.1240803315935952,1,False
PAY008393,CUST00022,2026-05-09,10808.76,upi,network_error,117809.65,12,6,6,12093.293333333333,0.5,0.8937813465755675,2,True
PAY009344,CUST00022,2026-05-28,12249.26,card,expired_card,117809.65,14,7,7,11987.622857142856,0.5,1.02182560679253,1,True
PAY001965,CUST00023,2026-03-15,11188.49,wallet,authentication_failed,44497.03,1,1,0,12660.34,1.0,0.8837432486015383,0,True
PAY003111,CUST00023,2026-03-23,13574.92,upi,insufficient_funds,44497.03,2,1,1,11924.415,0.5,1.1384139179993316,1,True
PAY004119,CUST00023,2026-03-30,10243.58,wallet,authentication_failed,44497.03,4,2,2,11725.8625,0.5,0.8735886166156221,2,True
PAY006256,CUST00023,2026-04-16,10414.1,netbanking,expired_card,44497.03,6,3,3,11413.371666666666,0.5,0.9124472858809032,2,True
PAY006488,CUST00023,2026-04-18,15084.46,card,card_declined,44497.03,7,3,4,11270.618571428571,0.42857142857142855,1.3383879424541663,3,False
PAY006799,CUST00023,2026-04-21,9208.28,netbanking,insufficient_funds,44497.03,8,3,5,11747.348750000001,0.375,0.7838602731531231,4,False
PAY007555,CUST00023,2026-04-29,12089.55,netbanking,authentication_failed,44497.03,9,3,6,11465.230000000001,0.3333333333333333,1.05445333412413,4,True
PAY001966,CUST00024,2026-03-15,2180.99,wallet,authentication_failed,54995.71,2,2,0,2370.175,1.0,0.920180999293301,0,True
PAY003684,CUST00024,2026-03-27,3277.96,wallet,expired_card,54995.71,3,2,1,2307.1133333333332,0.6666666666666666,1.4208057977212505,1,False
PAY007199,CUST00024,2026-04-25,2306.82,netbanking,authentication_failed,54995.71,7,5,2,2613.557142857143,0.7142857142857143,0.8826361444992867,1,False
PAY008583,CUST00024,2026-05-12,2364.94,wallet,authentication_failed,54995.71,9,6,3,2429.6188888888887,0.6666666666666666,0.9733789981693518,1,True
PAY009345,CUST00024,2026-05-28,2254.33,card,authentication_failed,54995.71,11,7,4,2444.71,0.6363636363636364,0.9221257327044925,1,True
PAY009476,CUST00024,2026-06-01,2350.19,wallet,timeout,54995.71,12,7,5,2428.845,0.5833333333333334,0.9676162949879471,2,False
PAY009754,CUST00024,2026-06-13,2133.14,netbanking,expired_card,54995.71,13,7,6,2422.7946153846156,0.5384615384615384,0.8804460710184329,2,False
PAY001257,CUST00025,2026-03-10,11271.01,card,network_error,319663.8,0,0,0,11271.01,0.0,1.0,0,True
PAY004386,CUST00025,2026-04-01,7140.5,wallet,authentication_failed,319663.8,3,2,1,11666.93,0.6666666666666666,0.6120290427730345,1,False
PAY006156,CUST00025,2026-04-15,9181.82,upi,timeout,319663.8,6,4,2,10376.451666666666,0.6666666666666666,0.8848708879448354,1,True
PAY007106,CUST00025,2026-04-24,9229.43,wallet,expired_card,319663.8,8,5,3,10548.25125,0.625,0.8749725221040787,2,False
PAY000522,CUST00026,2026-03-05,14821.46,card,insufficient_funds,188239.58,0,0,0,14821.46,0.0,1.0,0,True
PAY001444,CUST00026,2026-03-11,12494.53,upi,expired_card,188239.58,2,1,1,13998.035,0.5,0.8925917101936094,1,True
PAY001674,CUST00026,2026-03-13,13997.03,upi,expired_card,188239.58,3,1,2,13496.866666666667,0.3333333333333333,1.0370577368574434,2,True
PAY002521,CUST00026,2026-03-19,14813.37,wallet,timeout,188239.58,4,1,3,13621.907500000001,0.25,1.0874666415111098,3,False
PAY000638,CUST00028,2026-03-06,6251.94,wallet,timeout,325777.52,2,2,0,8410.43,1.0,0.7433555715938424,0,True
PAY006391,CUST00028,2026-04-17,6061.61,card,expired_card,325777.52,7,6,1,8417.278571428571,0.8571428571428571,0.7201389319079207,0,True
PAY001830,CUST00029,2026-03-14,5476.3,wallet,insufficient_funds,89713.63,1,1,0,7272.44,1.0,0.753020994329276,0,True
PAY006915,CUST00029,2026-04-22,7666.4,upi,expired_card,89713.63,6,5,1,6559.855,0.8333333333333334,1.1686843687855906,0,True
PAY000640,CUST00030,2026-03-06,1554.11,wallet,timeout,85884.23,1,1,0,2135.83,1.0,0.7276374992391716,0,True
PAY003255,CUST00030,2026-03-24,1709.88,netbanking,timeout,85884.23,4,3,1,1891.855,0.75,0.9038113386068172,1,True
PAY005452,CUST00030,2026-04-09,1634.56,wallet,network_error,85884.23,7,5,2,1597.2528571428572,0.7142857142857143,1.0233570675364934,1,False
PAY002097,CUST00031,2026-03-16,6022.96,card,timeout,494814.06,2,2,0,5209.4,1.0,1.1561715360694131,0,True
PAY003113,CUST00031,2026-03-23,6701.5,upi,timeout,494814.06,3,2,1,5480.586666666666,0.6666666666666666,1.2227705549770829,1,True
PAY006157,CUST00031,2026-04-15,4812.14,card,expired_card,494814.06,6,4,2,5790.84,0.6666666666666666,0.8309917041396413,2,True
PAY008832,CUST00031,2026-05-16,7858.47,wallet,card_declined,494814.06,9,6,3,5857.911111111111,0.6666666666666666,1.3415140398928707,0,True
PAY001085,CUST00033,2026-03-09,8136.79,netbanking,network_error,422211.7,0,0,0,8136.79,0.0,1.0,0,True
PAY003536,CUST00033,2026-03-26,8018.45,upi,timeout,422211.7,3,2,1,8757.716666666665,0.6666666666666666,0.9155868253330873,1,True
PAY000524,CUST00034,2026-03-05,9634.71,upi,timeout,118378.8,0,0,0,9634.71,0.0,1.0,0,True
PAY004632,CUST00034,2026-04-03,5286.65,upi,expired_card,118378.8,4,3,1,8349.555,0.75,0.6331654800764831,1,False
PAY006392,CUST00034,2026-04-17,10223.67,wallet,timeout,118378.8,6,4,2,7489.688333333333,0.6666666666666666,1.3650327683862236,1,True
PAY001572,CUST00035,2026-03-12,21127.73,card,network_error,161149.26,1,1,0,17872.76,1.0,1.182119045967159,0,True
PAY003256,CUST00035,2026-03-24,7950.34,card,timeout,161149.26,2,1,1,19500.245,0.5,0.4077046211470677,1,False
PAY004633,CUST00035,2026-04-03,16440.66,netbanking,timeout,161149.26,3,1,2,15650.276666666667,0.3333333333333333,1.0505028345611782,2,False
PAY004891,CUST00035,2026-04-05,18946.53,card,expired_card,161149.26,4,1,3,15847.8725,0.25,1.1955251406774001,3,False
PAY006041,CUST00035,2026-04-14,13300.45,netbanking,timeout,161149.26,5,1,4,16467.604,0.2,0.8076736603576331,3,False
PAY006593,CUST00035,2026-04-19,11710.08,netbanking,card_declined,161149.26,6,1,5,15939.745,0.16666666666666666,0.7346466333056143,4,False
PAY009318,CUST00035,2026-05-27,17495.47,upi,authentication_failed,161149.26,11,5,6,15650.164545454545,0.45454545454545453,1.1179096519519605,0,True
PAY009599,CUST00035,2026-06-05,24150.02,card,network_error,161149.26,12,5,7,15803.94,0.4166666666666667,1.5281012203286015,1,False
PAY004238,CUST00036,2026-03-31,14103.91,wallet,timeout,109436.51,4,4,0,16555.475,1.0,0.8519181720850656,0,True
PAY007467,CUST00036,2026-04-28,18255.12,card,authentication_failed,109436.51,8,7,1,14721.485,0.875,1.240032510307214,1,True
PAY000906,CUST00037,2026-03-08,8096.74,upi,expired_card,438801.98,0,0,0,8096.74,0.0,1.0,0,False
PAY008584,CUST00037,2026-05-12,7440.04,netbanking,expired_card,438801.98,9,8,1,7487.071111111111,0.8888888888888888,0.9937183565625127,0,True
PAY001831,CUST00038,2026-03-14,9246.65,netbanking,authentication_failed,329442.14,1,1,0,9733.54,1.0,0.9499781169029972,0,True
PAY003689,CUST00038,2026-03-27,13175.57,netbanking,network_error,329442.14,3,2,1,10038.74,0.6666666666666666,1.3124724816062574,1,True
PAY005181,CUST00038,2026-04-07,8486.35,card,network_error,329442.14,4,2,2,10822.9475,0.5,0.7841071020625389,2,False
PAY008647,CUST00038,2026-05-13,10311.54,netbanking,expired_card,329442.14,7,4,3,10846.295714285716,0.5714285714285714,0.9506969265477996,0,True
PAY002223,CUST00039,2026-03-17,6355.45,netbanking,authentication_failed,457701.06,4,4,0,6420.7275,1.0,0.9898333171747282,0,False
PAY005040,CUST00039,2026-04-06,5174.02,wallet,timeout,457701.06,6,5,1,6086.951666666667,0.8333333333333334,0.850018249419318,1,True
PAY000525,CUST00040,2026-03-05,5898.87,wallet,timeout,136115.68,0,0,0,5898.87,0.0,1.0,0,True
PAY001680,CUST00040,2026-03-13,7367.37,upi,expired_card,136115.68,1,0,1,5898.87,0.0,1.248945984569926,1,True
PAY007468,CUST00040,2026-04-28,7325.11,upi,authentication_failed,136115.68,6,4,2,6686.348333333332,0.6666666666666666,1.0955322150182125,0,True
PAY008067,CUST00040,2026-05-05,5229.79,upi,card_declined,136115.68,7,4,3,6777.599999999999,0.5714285714285714,0.7716286000944288,1,False
PAY008232,CUST00040,2026-05-07,7693.28,upi,timeout,136115.68,8,4,4,6584.12375,0.5,1.1684592046132183,2,True
PAY005697,CUST00041,2026-04-11,14931.13,card,card_declined,282877.23,7,7,0,17233.154285714285,1.0,0.8664188663579373,0,True
PAY007639,CUST00041,2026-04-30,23839.29,card,expired_card,282877.23,9,8,1,17284.32,0.8888888888888888,1.3792437307339833,1,True
PAY008233,CUST00041,2026-05-07,21730.23,upi,insufficient_funds,282877.23,10,8,2,17939.817,0.8,1.2112849311673581,2,True
PAY004239,CUST00043,2026-03-31,16208.52,netbanking,network_error,202703.25,4,4,0,11459.475,1.0,1.4144208177076174,0,True
PAY004769,CUST00043,2026-04-04,12628.71,upi,authentication_failed,202703.25,5,4,1,12409.284,0.8,1.0176824061726688,1,True
PAY006802,CUST00043,2026-04-21,17594.73,card,expired_card,202703.25,7,5,2,12631.56,0.7142857142857143,1.3929182143773216,2,False
PAY009075,CUST00043,2026-05-21,16916.24,upi,expired_card,202703.25,11,8,3,14376.747272727273,0.7272727272727273,1.1766388932836118,1,True
PAY001261,CUST00044,2026-03-10,903.47,upi,timeout,498781.12,0,0,0,903.47,0.0,1.0,0,True
PAY002374,CUST00044,2026-03-18,753.37,wallet,authentication_failed,498781.12,1,0,1,903.47,0.0,0.8338627735287281,1,False
PAY005319,CUST00044,2026-04-08,802.85,netbanking,authentication_failed,498781.12,4,2,2,907.8375000000001,0.5,0.884354303495945,2,True
PAY007918,CUST00044,2026-05-03,905.67,card,network_error,498781.12,7,4,3,1036.5357142857142,0.5714285714285714,0.8737470282189987,1,True
PAY009285,CUST00044,2026-05-26,550.23,card,timeout,498781.12,11,7,4,1028.7618181818182,0.6363636363636364,0.5348468326443616,1,False
PAY009677,CUST00044,2026-06-09,1102.91,wallet,timeout,498781.12,14,9,5,1007.1957142857143,0.6428571428571429,1.0950304735779826,1,False
PAY000108,CUST00045,2026-03-01,997.94,upi,authentication_failed,50000.16,0,0,0,997.94,0.0,1.0,0,False
PAY001969,CUST00045,2026-03-15,1160.43,upi,insufficient_funds,50000.16,2,1,1,902.9200000000001,0.5,1.2851969166703583,1,True
PAY002968,CUST00045,2026-03-22,771.47,wallet,network_error,50000.16,3,1,2,988.7566666666667,0.3333333333333333,0.7802425268097645,2,False
PAY005813,CUST00045,2026-04-12,859.34,wallet,timeout,50000.16,6,3,3,867.6633333333333,0.5,0.9904071855827338,2,True
PAY006803,CUST00045,2026-04-21,902.87,card,card_declined,50000.16,8,4,4,847.86,0.5,1.0648809945038096,2,True
PAY007919,CUST00045,2026-05-03,829.28,netbanking,timeout,50000.16,9,4,5,853.9722222222222,0.4444444444444444,0.9710854503464204,2,False
PAY009112,CUST00045,2026-05-22,820.78,card,network_error,50000.16,11,5,6,873.1672727272727,0.45454545454545453,0.9400031650709434,1,False
PAY009536,CUST00045,2026-06-03,815.19,card,expired_card,50000.16,12,5,7,868.8016666666666,0.4166666666666667,0.9382923989172828,1,False
PAY006159,CUST00046,2026-04-15,1034.17,card,authentication_failed,59276.32,5,5,0,1161.6799999999998,1.0,0.8902365539563393,0,False
PAY008835,CUST00046,2026-05-16,922.27,upi,expired_card,59276.32,9,8,1,1076.861111111111,0.8888888888888888,0.8564428508783244,0,True
PAY009854,CUST00046,2026-06-25,1146.52,netbanking,expired_card,59276.32,13,11,2,1105.7376923076922,0.8461538461538461,1.0368824432557728,0,False
PAY001832,CUST00047,2026-03-14,13562.87,card,network_error,397079.29,1,1,0,13320.41,1.0,1.018202142426547,0,False
PAY002818,CUST00047,2026-03-21,16901.57,wallet,authentication_failed,397079.29,2,1,1,13441.64,0.5,1.2574038584577478,1,False
PAY001087,CUST00048,2026-03-09,9011.93,wallet,network_error,36446.21,1,1,0,7088.44,1.0,1.271355897771583,0,True
PAY005321,CUST00048,2026-04-08,7812.04,card,card_declined,36446.21,5,4,1,9229.08,0.8,0.8464592353734066,1,True
PAY000222,CUST00049,2026-03-02,13935.45,wallet,expired_card,498080.08,0,0,0,13935.45,0.0,1.0,0,False
PAY002819,CUST00049,2026-03-21,11923.17,netbanking,network_error,498080.08,2,1,1,13389.315,0.5,0.8904988791435559,1,True
PAY004499,CUST00049,2026-04-02,14368.39,upi,insufficient_funds,498080.08,4,2,2,13185.7,0.5,1.0896948967442,1,False
PAY007003,CUST00049,2026-04-23,12005.5,wallet,authentication_failed,498080.08,6,3,3,12116.720000000001,0.5,0.9908209482434189,1,False
PAY009502,CUST00049,2026-06-02,10860.46,wallet,insufficient_funds,498080.08,11,7,4,11302.684545454546,0.6363636363636364,0.9608743795621201,0,True
PAY000225,CUST00052,2026-03-02,14322.93,card,network_error,342446.63,0,0,0,14322.93,0.0,1.0,0,True
PAY002376,CUST00052,2026-03-18,14505.5,wallet,authentication_failed,342446.63,3,2,1,12712.17,0.6666666666666666,1.1410719019648101,1,False
PAY004242,CUST00052,2026-03-31,14879.1,wallet,network_error,342446.63,6,4,2,13756.07,0.6666666666666666,1.0816388692409968,2,True
PAY007725,CUST00052,2026-05-01,13609.78,card,network_error,342446.63,11,8,3,13025.183636363636,0.7272727272727273,1.044882005502348,0,True
PAY002377,CUST00053,2026-03-18,21796.88,upi,expired_card,137078.47,1,1,0,19821.65,1.0,1.0996501300345833,0,True
PAY009319,CUST00053,2026-05-27,16350.29,upi,authentication_failed,137078.47,10,9,1,13783.632000000001,0.9,1.1862105720756329,0,True
PAY006261,CUST00054,2026-04-16,17848.9,card,authentication_failed,60218.33,6,6,0,15654.651666666667,1.0,1.1401658995712778,0,False
PAY008453,CUST00054,2026-05-10,13487.57,upi,timeout,60218.33,10,9,1,17063.121,0.9,0.7904515240793287,1,True
PAY008650,CUST00054,2026-05-13,15251.86,upi,network_error,60218.33,11,9,2,16738.070909090908,0.8181818181818182,0.9112077540379098,2,True
PAY000003,CUST00056,2026-02-28,13080.11,wallet,authentication_failed,438547.21,0,0,0,13080.11,0.0,1.0,0,True
PAY001448,CUST00056,2026-03-11,14482.92,card,timeout,438547.21,1,0,1,13080.11,0.0,1.107247569018915,1,True
PAY003837,CUST00056,2026-03-28,12548.39,upi,card_declined,438547.21,3,1,2,13696.726666666667,0.3333333333333333,0.9161597734543873,2,True
PAY007111,CUST00056,2026-04-24,13572.68,wallet,card_declined,438547.21,6,3,3,12629.87,0.5,1.0746492244179868,1,False
PAY007469,CUST00056,2026-04-28,8217.41,upi,expired_card,438547.21,7,3,4,12764.557142857142,0.42857142857142855,0.64376773185573,1,False
PAY002821,CUST00057,2026-03-21,8303.56,card,timeout,252790.13,2,2,0,10215.89,1.0,0.8128082819999041,0,True
PAY005044,CUST00057,2026-04-06,10912.28,card,authentication_failed,252790.13,4,3,1,9174.6525,0.75,1.1893943667076219,1,True
PAY006493,CUST00057,2026-04-18,9036.33,upi,authentication_failed,252790.13,5,3,2,9522.178,0.6,0.9489772192874362,2,True
PAY007202,CUST00057,2026-04-25,10410.32,wallet,timeout,252790.13,7,4,3,9083.351428571428,0.5714285714285714,1.146087992065861,2,False
PAY008068,CUST00057,2026-05-05,7871.7,netbanking,timeout,252790.13,9,5,4,9283.566666666668,0.5555555555555556,0.8479176465941609,3,False
PAY006707,CUST00059,2026-04-20,7664.13,netbanking,timeout,152730.17,5,5,0,7681.544,1.0,0.9977330078432148,0,True
PAY008454,CUST00059,2026-05-10,7016.08,wallet,network_error,152730.17,8,7,1,7719.62875,0.875,0.9088623594755123,1,True
PAY009251,CUST00059,2026-05-25,11314.75,card,card_declined,152730.17,10,8,2,7558.263000000001,0.8,1.4970040074022297,1,False
PAY001449,CUST00060,2026-03-11,17894.31,upi,expired_card,306440.25,1,1,0,17530.17,1.0,1.020772188746601,0,True
PAY002674,CUST00060,2026-03-20,15143.86,card,timeout,306440.25,2,1,1,17712.239999999998,0.5,0.8549940606044183,1,False
PAY003979,CUST00060,2026-03-29,13883.12,upi,card_declined,306440.25,3,1,2,16856.11333333333,0.3333333333333333,0.823625216884715,2,False
PAY006262,CUST00060,2026-04-16,19474.01,netbanking,authentication_failed,306440.25,5,2,3,16232.494,0.4,1.199693035463312,2,True
PAY006808,CUST00060,2026-04-21,16029.11,wallet,network_error,306440.25,7,3,4,16458.01714285714,0.42857142857142855,0.9739393185014825,2,False
PAY008587,CUST00060,2026-05-12,10051.38,upi,card_declined,306440.25,9,4,5,16225.853333333333,0.4444444444444444,0.6194669576700229,2,False
PAY009443,CUST00060,2026-05-31,12671.52,card,authentication_failed,306440.25,11,5,6,15045.415454545455,0.45454545454545453,0.8422180190558803,1,True
PAY009538,CUST00060,2026-06-03,13669.96,card,network_error,306440.25,12,5,7,14847.590833333334,0.4166666666666667,0.9206853928995999,2,False
PAY007472,CUST00061,2026-04-28,18797.66,upi,authentication_failed,382442.85,8,8,0,20875.4525,1.0,0.9004671874777326,0,True
PAY008316,CUST00061,2026-05-08,27054.39,upi,authentication_failed,382442.85,9,8,1,20644.586666666666,0.8888888888888888,1.3104834907488259,1,True
PAY009157,CUST00061,2026-05-23,15213.25,card,authentication_failed,382442.85,11,9,2,21279.300909090907,0.8181818181818182,0.7149318516145716,2,False
PAY000527,CUST00062,2026-03-05,15731.7,wallet,network_error,390420.11,0,0,0,15731.7,0.0,1.0,0,True
PAY002226,CUST00062,2026-03-17,13418.97,netbanking,expired_card,390420.11,1,0,1,15731.7,0.0,0.8529891874368313,1,False
PAY002527,CUST00062,2026-03-19,18220.71,card,expired_card,390420.11,2,0,2,14575.335,0.0,1.2501057437101788,2,False
PAY006044,CUST00062,2026-04-14,17447.39,upi,card_declined,390420.11,6,3,3,15898.97,0.5,1.097391214651012,2,False
PAY006263,CUST00062,2026-04-16,4454.19,card,insufficient_funds,390420.11,7,3,4,16120.172857142856,0.42857142857142855,0.2763115531994029,3,False
